FIPS,State,County,# deaths due to COVID-19 during 2020,COVID-19 death rate,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (white),Life Expectancy (white) 95% CI - Low,Life Expectancy (white) 95% CI - High,# Deaths,Age-adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (white),Age-Adjusted Mortality (white) 95% CI - Low,Age-Adjusted Mortality (white) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (white),Child Mortality Rate (white) 95% CI - Low,Child Mortality Rate (white) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (white),Infant Mortality Rate (white) 95% CI - Low,Infant Mortality Rate (white) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (white),Drug Overdose Mortality Rate (white) 95% CI - Low,Drug Overdose Mortality Rate (white) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (white),MV Mortality Rate (white) 95% CI - Low,MV Mortality Rate (white) 95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low,95% CI - High,Average Grade Performance,Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (white),Average Grade Performance,Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (white),Segregation index,Spending per-pupil,School funding,Women's Median Earnings,Men's Median Earnings,Gender Pay Gap %,Gender Pay Gap,Gender Pay Rank,95% CI - Low,95% CI - High,Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (white),Household Income (white) 95% CI - Low,Household Income (white) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,% household income required for childcare expenses,# childcare centers,County Value,Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (white),Homicide Rate (white) 95% CI - Low,Homicide Rate (white) 95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (white),Suicide Rate (white) 95% CI - Low,Suicide Rate (white) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (white),Firearm Fatalities Rate (white) 95% CI - Low,Firearm Fatalities Rate (white) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,% Broadband Access,Numerator,95% CI - Low,95% CI - High,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic white,% Non-Hispanic white,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% female,# rural residents,% rural
37000,North Carolina,,7892,60,77.7,77.6,77.7,74.6,74,75.2,87.9,87.2,88.7,74.7,74.6,74.9,87.5,86.8,88.1,78.1,78,78.1,143360,384,382,386,531,509,554,155,147,164,508,503,513,208,201,215,368,365,370,5094,55,54,57,84,68,102,38,31,44,93,89,97,42,39,45,42,41,44,5863,7,7,7,9,7,11,5,4,6,12,12,12,5,5,5,5,5,5,12,11,13,14,13,15,11,10,11,33009,373,1417440,14,715223,8,7671,24,24,25,50,43,57,4,3,5,18,17,19,8,7,9,30,29,30,10535,15,14,15,30,27,34,5,4,6,17,17,18,12,11,12,14,14,15,36,34,38,1014991,16,16,17,137876,6,5,6,144,693:01:00,121981,87,7,7,8,3.1,3.6,2.7,2.8,3.5,3.1,3.8,2.6,2.8,3.4,0.2,9865,-3326,40819,48869,0.8353,,,0.83,0.84,59616,58870,60362,39857,38162,41552,89314,85874,92754,40767,40314,41220,45983,45106,46860,64050,63585,64515,58,52,46,29,,9,7,6,7,18,15,20,2,2,3,18,18,19,4,4,4,3,3,3,7181,13,13,14,14,10,8,13,7,6,8,6,5,6,5,5,6,17,17,18,7351,14,14,14,20,16,23,4,3,5,21,20,22,6,5,6,14,13,14,,,,,228,2649849,66,65,66,485106,12,12,13,83,3364263,83,84,10600823,21.8,17.1,2259862,21.3,168343,1.6,353258,3.3,14988,0.1,1052435,9.9,6604606,62.3,222018,2,2,2,51.4,3233727,33.9
37001,North Carolina,Alamance,149,65,76.8,76.4,77.2,,,,85.6,81,90.3,73.3,72.3,74.2,84.7,82.1,87.3,77,76.5,77.5,2556,425,408,442,,,,,,,582,538,626,180,137,232,415,394,436,68,46,36,58,,,,,,,77,50,113,29,14,53,40,28,57,91,7,6,9,,,,,,,12,8,17,,,,6,4,8,13,12,14,15,14,16,12,11,12,456,319,22360,14,16794,11,118,23,19,27,,,,,,,20,12,30,,,,28,22,34,151,13,11,15,,,,,,,18,13,24,8,4,14,13,11,16,38,37,40,17813,18,16,20,2237,6,4,7,87,1150:01:00,1946,84,9,6,12,3,3.4,2.7,2.7,3.3,2.8,3.4,2.4,2.7,3.1,0.12,9205,-3500,40039,46062,0.8692,0.13,30,0.82,0.92,53220,46790,59650,47500,30609,64391,74659,31896,117422,37341,32434,42248,46068,44001,48135,59199,56117,62281,59,39,36,36,68,7,6,5,8,,,,,,,17,12,23,,,,3,2,5,121,14,12,17,15,,,,,,,10,6,17,,,,17,13,21,113,14,11,16,,,,,,,21,15,29,,,,13,10,17,,,,,247,43538,67,65,68,7754,12,11,14,81,53177,80,82,171346,21.9,17.4,35367,20.6,2471,1.4,3219,1.9,185,0.1,22699,13.2,106377,62.1,4638,3,3,3,52.6,43160,28.6
37003,North Carolina,Alexander,44,82,77,76,77.9,,,,,,,74.8,70.9,78.6,,,,76.9,75.9,77.9,606,415,380,451,,,,,,,548,395,741,,,,414,377,451,17,57,33,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,15,16,15,18,10,10,11,41,127,5320,14,2825,8,13,12,6,20,,,,,,,,,,,,,,,,51,19,15,26,,,,,,,,,,,,,,,,36,35,38,3424,16,14,18,487,6,4,8,48,2080:01:00,369,83,,,,3.1,,2.8,2.5,3.3,3.1,,2.8,2.7,3.2,0.04,9891,814,33140,44049,0.7523,0.25,86,0.67,0.83,53523,46509,60537,58468,17574,99362,46316,5442,87190,40300,27816,52784,44929,8026,81832,53148,47860,58436,44,68,41,24,21,12,6,3,10,,,,,,,,,,,,,,,,37,19,13,27,20,,,,,,,,,,,,,,,,42,22,16,30,,,,,,,,,,,,,,,,,,,,13,11232,80,77,83,1085,8,6,10,79,11091,76,82,37441,19.6,20.9,2140,5.7,202,0.5,392,1,20,0.1,1846,4.9,32413,86.6,436,1,0,2,49.2,27072,72.8
37005,North Carolina,Alleghany,,,77.3,75.3,79.3,,,,,,,,,,,,,,,,211,424,357,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,17,17,16,19,12,11,13,5,51,2030,19,222,2,,,,,,,,,,,,,,,,,,,,19,25,15,38,,,,,,,,,,,,,,,,36,35,38,1377,23,20,26,173,9,6,12,54,1866:01:00,131,88,,,,3,,,,,3.3,,,,,0.03,12081,-2787,31568,36258,0.8706,0.13,27,0.76,0.99,39916,34420,45412,,,,,,,40491,32750,48232,26865,16039,37691,40164,32447,47881,63,55,24,22,7,15,,,,,,,,,,,,,,,,,,,13,26,13,46,23,,,,,,,,,,,,,,,,10,18,9,33,,,,,,,,,,,,,,,,,,,,0,3774,75,72,79,652,14,9,18,78,3884,74,82,11194,16.7,28.8,171,1.5,64,0.6,89,0.8,7,0.1,1097,9.8,9694,86.6,144,1,0,3,50.6,11155,100
37007,North Carolina,Anson,34,105,73.4,72.2,74.7,,,,,,,72.7,70.8,74.6,,,,73.9,72,75.8,536,588,535,640,,,,,,,675,594,756,,,,536,461,610,19,98,59,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,16,17,16,18,14,13,15,65,309,3600,15,1247,5,18,25,15,39,,,,,,,,,,,,,,,,44,25,18,34,,,,,,,22,13,35,,,,29,18,44,42,41,43,2160,16,14,19,237,5,3,6,33,3012:01:00,264,83,,,,2.8,,2.5,,3.2,2.6,,2.3,,3,0.06,11227,-8725,31883,42548,0.7493,0.25,88,0.65,0.85,40818,35237,46399,,,,49545,39142,59948,29498,21392,37604,34337,18566,50108,51344,46498,56190,99,35,33,41,16,14,21,15,29,,,,,,,,,,,,,,,,21,15,9,24,17,,,,,,,,,,,,,,,,38,31,22,42,,,,,,,40,25,59,,,,25,14,42,,,,,90,6556,67,63,71,1649,18,13,22,79,7737,75,83,24097,20,19.9,11448,47.5,213,0.9,377,1.6,15,0.1,1051,4.4,10744,44.6,196,1,0,2,49.1,21157,78.5
37009,North Carolina,Ashe,34,65,78.2,77.1,79.2,,,,,,,,,,,,,,,,470,380,341,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,15,16,14,17,10,9,11,15,63,4140,15,2887,11,10,12,6,23,,,,,,,,,,,,,,,,25,13,9,19,,,,,,,,,,,,,,,,35,33,37,2951,19,17,22,339,7,5,9,96,1045:01:00,242,86,,,,3.2,,,2.7,3.3,3.2,,,2.9,3.2,0.01,11171,858,35033,35465,0.9878,0.01,5,0.78,1.2,44543,38821,50265,,,,,,,,,,27303,20135,34471,43648,40729,46567,56,55,43,24,10,9,,,,,,,,,,,,,,,,,,,32,24,16,35,24,,,,,,,,,,,,,,,,23,17,11,25,,,,,,,,,,,,,,,,,,,,0,9393,79,76,82,1038,9,7,12,75,8973,72,79,27166,17,27.2,204,0.8,131,0.5,134,0.5,20,0.1,1396,5.1,25067,92.3,260,1,0,2,50.8,23152,84.9
37011,North Carolina,Avery,19,66,77.5,76.5,78.6,,,,,,,,,,,,,,,,295,393,346,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,15,16,15,18,11,10,11,25,158,2800,16,34,0,,,,,,,,,,,,,,,,,,,,18,15,9,23,,,,,,,,,,,,,,,,36,34,37,1922,22,19,25,229,9,6,12,57,1757:01:00,186,87,,,,3,,,,,2.8,,,,,0.06,12026,842,34221,39325,0.8702,0.13,28,0.67,1.07,50800,43988,57612,42625,7220,78030,161033,26826,295240,,,,31625,12157,51093,43371,38867,47875,55,,43,28,10,17,,,,,,,,,,,,,,,,,,,18,20,12,32,21,,,,,,,,,,,,,,,,15,17,10,28,,,,,,,,,,,,,,,,,,,,17,5105,78,69,86,647,10,7,14,75,4940,71,79,17571,15,23,787,4.5,114,0.6,115,0.7,13,0.1,877,5,15541,88.4,140,1,0,2,45.8,15801,88.8
37013,North Carolina,Beaufort,65,78,75.9,75,76.9,,,,,,,74,72.1,75.9,84.9,73.3,96.4,75.9,74.8,77.1,891,456,423,490,,,,,,,568,493,643,,,,447,406,489,26,69,45,101,,,,,,,,,,,,,,,,36,11,8,16,,,,,,,,,,,,,,,,14,13,15,16,15,17,12,11,13,103,254,7350,16,4389,9,43,30,22,41,,,,,,,,,,,,,,,,61,18,14,24,,,,,,,22,13,35,,,,18,13,24,39,38,40,4521,17,15,20,571,6,4,8,76,1308:01:00,602,83,,,,3.2,,2.9,2.9,3.5,3.2,,2.8,3.2,3.5,0.08,10392,-5363,35456,45273,0.7832,0.22,75,0.66,0.91,50253,44031,56475,,,,,,,31677,25700,37654,26944,22783,31105,57716,52545,62887,97,32,30,30,19,8,7,5,11,,,,,,,,,,,,,,,,43,19,13,26,18,,,,,,,,,,,,,,,,43,18,13,25,,,,,,,22,12,38,,,,19,12,27,,,,,81,14600,72,69,75,3128,16,13,19,74,14964,71,77,47073,19.5,25.1,11054,23.5,528,1.1,259,0.6,36,0.1,3931,8.4,31140,66.2,574,1,1,2,52.4,31330,65.6
37015,North Carolina,Bertie,38,116,75.6,74.1,77.1,,,,,,,74.6,72.6,76.5,,,,77.6,75.4,79.7,363,488,432,544,,,,,,,535,459,610,,,,418,333,503,11,83,41,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,17,17,16,18,15,14,16,80,481,3040,16,5211,24,10,18,8,32,,,,,,,,,,,,,,,,43,32,23,43,,,,,,,36,24,51,,,,27,14,47,43,42,44,1494,15,13,17,159,5,3,6,86,1170:01:00,203,78,,,,2.6,,2.5,,3.1,2.6,,2.5,,3,0.05,11995,-10343,36102,33720,1.0706,-0.07,1,0.97,1.17,41889,35417,48361,,,,100625,29072,172178,25639,18681,32597,,,,54370,46824,61916,99,30,30,31,12,15,13,8,21,,,,,,,,,,,,,,,,10,10,4,18,10,,,,,,,,,,,,,,,,16,17,10,27,,,,,,,,,,,,,,,,,,,,12,5691,71,68,74,1444,20,14,25,61,4898,56,66,18712,17.2,24.5,11398,60.9,143,0.8,129,0.7,18,0.1,424,2.3,6462,34.5,18,0,0,1,49.3,17716,83.2
37017,North Carolina,Bladen,27,57,74.7,73.6,75.7,,,,,,,72.5,70.5,74.5,,,,75.1,73.6,76.5,695,526,483,569,,,,,,,647,563,731,,,,493,437,549,14,52,28,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,17,17,16,18,14,13,14,85,302,5730,17,2552,7,35,35,25,49,,,,,,,,,,,,,,,,93,40,32,48,,,,,,,46,32,63,60,30,108,33,24,45,39,38,40,3550,19,17,22,486,7,5,9,76,1316:01:00,407,91,10,3,17,2.9,,2.6,2.6,3.2,2.8,,2.6,2.9,3.1,0.09,10754,-6589,36329,39704,0.915,0.09,12,0.76,1.07,43664,35581,51747,48824,31953,65695,,,,23570,21343,25797,36802,23509,50095,47221,41129,53313,99,37,33,28,20,12,14,9,19,,,,,,,,,,,,,,,,17,10,6,17,10,,,,,,,,,,,,,,,,35,21,15,29,,,,,,,30,18,48,,,,15,8,26,,,,,5,9666,72,69,76,2184,18,14,22,77,10334,74,80,32911,20.2,23.5,10861,33,1036,3.1,133,0.4,14,0,2565,7.8,18089,55,478,2,0,3,52.6,32105,91.2
